,aqi,pm2_5,pm10,no2,o3,temperature,humidity,month,day_of_week,is_weekend,season,hospital_utilization,density_Suburban,density_Urban,city_freq,hospital_admissions
aqi,1.0,0.0028938310077799415,0.0019483089286497508,0.0026826683996914852,-0.0018488509901943236,-0.004377410570559079,-0.0030979395798237147,0.007906905944849878,-0.004057362227248605,-0.007363309822181489,0.009139448879414801,-0.0009296590815661885,-0.001677593067761021,-0.002701742125626947,-0.0025848609667570624,-0.00039335445854946777
pm2_5,0.0028938310077799415,1.0,-8.299665594695099e-05,0.004913213610258644,-0.0007910887993121046,-0.006201824461514101,0.002751824255219187,-0.0011515707785074334,-0.004109879451674664,-0.005741470938604519,-0.0036971966455597908,0.11777380197389282,0.0003039543333780898,4.2737709748160364e-05,-0.0033941103599951557,0.3923087916068885
pm10,0.0019483089286497508,-8.299665594695099e-05,1.0,0.0036929906938177976,0.0011974303111571658,-0.0014649766529392131,0.00618942481726302,0.0014519052846799097,0.004056524806973254,0.0024134297664892756,0.0008013584359979914,-1.9516846025882107e-05,0.004883152264299556,-0.0019065032186691003,-0.0011797517799932717,0.0005374456958405516
no2,0.0026826683996914852,0.004913213610258644,0.0036929906938177976,1.0,-0.0007405588117433325,0.002950972234862823,0.005071118889068378,-0.002048673536826925,0.008063675631789642,0.006108796021345245,-0.0006094176034483557,-0.0009016776990738054,-0.0010585112014285028,-0.002227621382272929,-0.0007142133830636663,0.001279013933403311
o3,-0.0018488509901943236,-0.0007910887993121046,0.0011974303111571658,-0.0007405588117433325,1.0,-3.112946005893674e-05,-0.004403455451275021,0.0016787322505985537,-0.004760837840628327,-0.007340220080018034,0.004616836892138207,0.0013392854786772048,-0.00018961922883776897,3.063952495963166e-05,0.003987200532808732,-0.0030319593291496263
temperature,-0.004377410570559079,-0.006201824461514101,-0.0014649766529392131,0.002950972234862823,-3.112946005893674e-05,1.0,-0.004595110837156146,-0.0004364105261032888,0.002389907413251934,0.001538407688687447,-0.006895197661654545,-0.008752906962953425,-0.0020427873019627533,0.002161308472982843,-0.000631713027066219,-0.0037828286819975247
humidity,-0.0030979395798237147,0.002751824255219187,0.00618942481726302,0.005071118889068378,-0.004403455451275021,-0.004595110837156146,1.0,-0.0026824961554794747,0.002304896044692539,0.001675477137011529,-0.002296766313892646,-0.0030354777176507188,0.0021678052198649644,0.0004281135626119661,0.002534576039487976,9.882924510522836e-06
month,0.007906905944849878,-0.0011515707785074334,0.0014519052846799097,-0.002048673536826925,0.0016787322505985537,-0.0004364105261032888,-0.0026824961554794747,1.0,-0.0001416436272314333,-0.00012422797561495176,0.575285324740662,0.004661754557531357,0.00051461686844292,-0.00019992776617473206,0.0016824427867110669,0.005726038176211556
day_of_week,-0.004057362227248605,-0.004109879451674664,0.004056524806973254,0.008063675631789642,-0.004760837840628327,0.002389907413251934,0.002304896044692539,-0.0001416436272314333,1.0,0.7905682982776477,-1.2662616155800828e-05,-0.00569524036574043,-0.000539323167665671,0.0006877595355484302,0.0023423236934621895,-0.0028864229704542153
is_weekend,-0.007363309822181489,-0.005741470938604519,0.0024134297664892756,0.006108796021345245,-0.007340220080018034,0.001538407688687447,0.001675477137011529,-0.00012422797561495176,0.7905682982776477,1.0,3.849364327768142e-05,-0.002815542755362596,0.0014611149573855885,-0.0006319844999695168,0.001298931409407566,-0.0027035476929206286
season,0.009139448879414801,-0.0036971966455597908,0.0008013584359979914,-0.0006094176034483557,0.004616836892138207,-0.006895197661654545,-0.002296766313892646,0.575285324740662,-1.2662616155800828e-05,3.849364327768142e-05,1.0,0.005813749193290749,8.862817070647244e-05,-0.0025564866042229566,0.0038072391003950985,0.001950406162922312
hospital_utilization,-0.0009296590815661885,0.11777380197389282,-1.9516846025882107e-05,-0.0009016776990738054,0.0013392854786772048,-0.008752906962953425,-0.0030354777176507188,0.004661754557531357,-0.00569524036574043,-0.002815542755362596,0.005813749193290749,1.0,-0.00332187947826536,0.003864182839120268,0.003097665293743488,0.2988147863545128
density_Suburban,-0.001677593067761021,0.0003039543333780898,0.004883152264299556,-0.0010585112014285028,-0.00018961922883776897,-0.0020427873019627533,0.0021678052198649644,0.00051461686844292,-0.000539323167665671,0.0014611149573855885,8.862817070647244e-05,-0.00332187947826536,1.0,-0.8018817438876699,0.00021910261266631248,-0.0009563832506601629
density_Urban,-0.002701742125626947,4.2737709748160364e-05,-0.0019065032186691003,-0.002227621382272929,3.063952495963166e-05,0.002161308472982843,0.0004281135626119661,-0.00019992776617473206,0.0006877595355484302,-0.0006319844999695168,-0.0025564866042229566,0.003864182839120268,-0.8018817438876699,1.0,-0.00013182771036364838,-0.0005023215747165661
city_freq,-0.0025848609667570624,-0.0033941103599951557,-0.0011797517799932717,-0.0007142133830636663,0.003987200532808732,-0.000631713027066219,0.002534576039487976,0.0016824427867110669,0.0023423236934621895,0.001298931409407566,0.0038072391003950985,0.003097665293743488,0.00021910261266631248,-0.00013182771036364838,1.0,0.003358867266334465
hospital_admissions,-0.00039335445854946777,0.3923087916068885,0.0005374456958405516,0.001279013933403311,-0.0030319593291496263,-0.0037828286819975247,9.882924510522836e-06,0.005726038176211556,-0.0028864229704542153,-0.0027035476929206286,0.001950406162922312,0.2988147863545128,-0.0009563832506601629,-0.0005023215747165661,0.003358867266334465,1.0
